ecosystem,ECT,verbatimeName,indicatorName,indicatorID,reportingYears
forest,A1 Fysiske egenskaper ,Grøfting ,Ditching,NO_AIVS_001,
forest,A1 Fysiske egenskaper ,Fuktighetspåvirkning i vegetasjon ,Moisture impacts on vegetation,NO_FUMO_004,
forest,A2 Kjemiske egenskaper ,Nitrogenpåvirkning i vegetasjon,Nitrogen impacts on vegetation,NO_FUNI_004,
forest,B1 Biologisk mangfold ,Dagsommerfugler,Butterflies,NO_BFLY_002,
forest,B1 Biologisk mangfold ,Humler  ,Bumblebees,NO_BUMB_002,
forest,B1 Biologisk mangfold ,Dødvedmengde,Total deadwood,NO_DWTO_001,
forest,B1 Biologisk mangfold ,Fremmede plantearter  ,Alien plantspecies,NO_ALIE_004,
forest,B1 Biologisk mangfold ,Fremmede bartrær,Alien conifers,NO_AATS_002,
forest,B1 Biologisk mangfold ,"Rogn, osp og selje ","Rowan, aspen and goat willow",NO_ROSE_001,
forest,B2 Strukturelle egenskaper ,Dødvedandel,Dead wood share,NO_DTVS_001,
forest,B2 Strukturelle egenskaper ,Flersjiktet skog ,Multi-layered forest,NO_MLFA_001,
forest,B2 Strukturelle egenskaper ,Store trær,Large trees,NO_DLTA_001,
forest,B3 Funksjonelle egenskaper ,Elg  ,Moose,NO_MOOS_001,
forest,B3 Funksjonelle egenskaper ,Hjort ,Red deer,NO_DEER_001,
forest,B3 Funksjonelle egenskaper ,Rådyr ,Roe deer,NO_ROED_001,
forest,B3 Funksjonelle egenskaper ,Brunbjørn ,Brown bear,NO_BAER_001,
forest,B3 Funksjonelle egenskaper ,Gaupe ,Lynx,NO_LYNX_001,
forest,B3 Funksjonelle egenskaper ,Ulv ,Wolf,NO_WOLF_001,
forest,B3 Funksjonelle egenskaper ,Blåbærdekning ,Bilberry cover,NO_BLAA_001,
forest,C1 Landskapsegenskaper ,Biologisk gammel skog,Old forest,NO_BGSK_001,
forest,C1 Landskapsegenskaper ,Strukturell konnektivitet og arealbruksintensitet ,Connected low-infrastructure forest habitat,NO_CONN_002,
