"year","id","region","arealFjell","mean_snow","reference_snow","reference_mean_snow","n_reference_years","relative_snow","condition_score"
1959,1,"Nord-Norge",59822.7350921747,142.59999930023,142.921073581004,143.744102075349,30,0.997753485383721,0.997753485383721
1959,2,"Midt-Norge",18294.6375230299,135.80632691528,156.549324576585,160.910013390366,30,0.867498644804709,0.867498644804709
1959,3,"Østlandet",19004.1775274179,83.8980516947661,104.273160477513,104.203290990937,30,0.804598722341973,0.804598722341973
1959,4,"Vestlandet",20329.6250265664,160.393679085456,247.243754336309,247.789646322772,30,0.648726919375619,0.648726919375619
1959,5,"Sørlandet",7085.62001515692,88.9581119228761,155.899339572004,156.040950888283,30,0.570612500136921,0.570612500136921
1960,1,"Nord-Norge",59822.7350921747,69.2044934066478,142.921073581004,143.744102075349,30,0.484214760445558,0.484214760445558
1960,2,"Midt-Norge",18294.6375230299,64.0493016718813,156.549324576585,160.910013390366,30,0.409131766266727,0.409131766266727
1960,3,"Østlandet",19004.1775274179,88.2700180816457,104.273160477513,104.203290990937,30,0.84652673494712,0.84652673494712
1960,4,"Vestlandet",20329.6250265664,117.181950791536,247.243754336309,247.789646322772,30,0.473953128183539,0.473953128183539
1960,5,"Sørlandet",7085.62001515692,157.031758803554,155.899339572004,156.040950888283,30,1.00726378466169,1
1961,1,"Nord-Norge",59822.7350921747,113.649259206191,142.921073581004,143.744102075349,30,0.795188955404659,0.795188955404659
1961,2,"Midt-Norge",18294.6375230299,95.0833418473281,156.549324576585,160.910013390366,30,0.607369863169309,0.607369863169309
1961,3,"Østlandet",19004.1775274179,81.3942473649993,104.273160477513,104.203290990937,30,0.780586749190869,0.780586749190869
1961,4,"Vestlandet",20329.6250265664,158.94680009434,247.243754336309,247.789646322772,30,0.642874884831814,0.642874884831814
1961,5,"Sørlandet",7085.62001515692,138.539551777029,155.899339572004,156.040950888283,30,0.888647457759389,0.888647457759389
1962,1,"Nord-Norge",59822.7350921747,126.330991504971,142.921073581004,143.744102075349,30,0.883921372402579,0.883921372402579
1962,2,"Midt-Norge",18294.6375230299,159.076814834709,156.549324576585,160.910013390366,30,1.01614500902486,1
1962,3,"Østlandet",19004.1775274179,105.544883297575,104.273160477513,104.203290990937,30,1.01219607053473,1
1962,4,"Vestlandet",20329.6250265664,250.21515208488,247.243754336309,247.789646322772,30,1.01201809023062,1
1962,5,"Sørlandet",7085.62001515692,190.835561450352,155.899339572004,156.040950888283,30,1.22409473942776,1
1963,1,"Nord-Norge",59822.7350921747,172.932636361969,142.921073581004,143.744102075349,30,1.20998696713508,1
1963,2,"Midt-Norge",18294.6375230299,124.23328631952,156.549324576585,160.910013390366,30,0.793572803048053,0.793572803048053
1963,3,"Østlandet",19004.1775274179,63.1356925718107,104.273160477513,104.203290990937,30,0.605483638193037,0.605483638193037
1963,4,"Vestlandet",20329.6250265664,136.601467861813,247.243754336309,247.789646322772,30,0.552497142864136,0.552497142864136
1963,5,"Sørlandet",7085.62001515692,87.5045832185902,155.899339572004,156.040950888283,30,0.561288992364045,0.561288992364045
1964,1,"Nord-Norge",59822.7350921747,160.323240408004,142.921073581004,143.744102075349,30,1.121760678051,1
1964,2,"Midt-Norge",18294.6375230299,149.842854022412,156.549324576585,160.910013390366,30,0.95716065481399,0.95716065481399
1964,3,"Østlandet",19004.1775274179,67.5900092441793,104.273160477513,104.203290990937,30,0.648201406139941,0.648201406139941
1964,4,"Vestlandet",20329.6250265664,163.18738142729,247.243754336309,247.789646322772,30,0.660026304265374,0.660026304265374
1964,5,"Sørlandet",7085.62001515692,99.5272199695028,155.899339572004,156.040950888283,30,0.638406937724935,0.638406937724935
1965,1,"Nord-Norge",59822.7350921747,159.583233061969,142.921073581004,143.744102075349,30,1.11658294374287,1
1965,2,"Midt-Norge",18294.6375230299,199.618547351844,156.549324576585,160.910013390366,30,1.27511599230305,1
1965,3,"Østlandet",19004.1775274179,115.767255728299,104.273160477513,104.203290990937,30,1.11023062116992,1
1965,4,"Vestlandet",20329.6250265664,249.902735285935,247.243754336309,247.789646322772,30,1.010754491885,1
1965,5,"Sørlandet",7085.62001515692,157.485302741175,155.899339572004,156.040950888283,30,1.01017299478962,1
1966,1,"Nord-Norge",59822.7350921747,108.696039893552,142.921073581004,143.744102075349,30,0.760531929757342,0.760531929757342
1966,2,"Midt-Norge",18294.6375230299,99.3071500180996,156.549324576585,160.910013390366,30,0.634350549174793,0.634350549174793
1966,3,"Østlandet",19004.1775274179,74.3389791879468,104.273160477513,104.203290990937,30,0.7129253476879,0.7129253476879
1966,4,"Vestlandet",20329.6250265664,141.703634410187,247.243754336309,247.789646322772,30,0.573133322581072,0.573133322581072
1966,5,"Sørlandet",7085.62001515692,110.994117496218,155.899339572004,156.040950888283,30,0.711960151986109,0.711960151986109
1967,1,"Nord-Norge",59822.7350921747,129.67208448403,142.921073581004,143.744102075349,30,0.907298561611596,0.907298561611596
1967,2,"Midt-Norge",18294.6375230299,150.229512978695,156.549324576585,160.910013390366,30,0.959630540630034,0.959630540630034
1967,3,"Østlandet",19004.1775274179,120.95154031148,104.273160477513,104.203290990937,30,1.15994892412956,1
1967,4,"Vestlandet",20329.6250265664,271.652470846871,247.243754336309,247.789646322772,30,1.09872328858654,1
1967,5,"Sørlandet",7085.62001515692,203.487732655562,155.899339572004,156.040950888283,30,1.30525076766973,1
1968,1,"Nord-Norge",59822.7350921747,146.304369246255,142.921073581004,143.744102075349,30,1.02367247586713,1
1968,2,"Midt-Norge",18294.6375230299,229.287950845615,156.549324576585,160.910013390366,30,1.46463711335558,1
1968,3,"Østlandet",19004.1775274179,135.540929401165,104.273160477513,104.203290990937,30,1.29986401851122,1
1968,4,"Vestlandet",20329.6250265664,334.212852030439,247.243754336309,247.789646322772,30,1.35175447779292,1
1968,5,"Sørlandet",7085.62001515692,176.053092226729,155.899339572004,156.040950888283,30,1.12927413746623,1
1969,1,"Nord-Norge",59822.7350921747,125.979624913385,142.921073581004,143.744102075349,30,0.881462906462027,0.881462906462027
1969,2,"Midt-Norge",18294.6375230299,101.444132428485,156.549324576585,160.910013390366,30,0.64800108657676,0.64800108657676
1969,3,"Østlandet",19004.1775274179,75.4867172823924,104.273160477513,104.203290990937,30,0.723932380458266,0.723932380458266
1969,4,"Vestlandet",20329.6250265664,144.131543840736,247.243754336309,247.789646322772,30,0.58295322455217,0.58295322455217
1969,5,"Sørlandet",7085.62001515692,103.862952911788,155.899339572004,156.040950888283,30,0.666218042981623,0.666218042981623
1970,1,"Nord-Norge",59822.7350921747,108.774363419306,142.921073581004,143.744102075349,30,0.761079949190666,0.761079949190666
1970,2,"Midt-Norge",18294.6375230299,147.778265325681,156.549324576585,160.910013390366,30,0.943972551305303,0.943972551305303
1970,3,"Østlandet",19004.1775274179,82.1599846277732,104.273160477513,104.203290990937,30,0.78793031928376,0.78793031928376
1970,4,"Vestlandet",20329.6250265664,189.757379037088,247.243754336309,247.789646322772,30,0.767491092126735,0.767491092126735
