ecosystem,indicatorID,navn,link,kilde,periodeStart,periodeSlutt,type
forest,NO_AIVS_001,Ditching,NA,NA,NA,NA,NA
forest,NO_FUMO_004,Moisture impacts on vegetation,NA,NA,NA,NA,NA
forest,NO_FUNI_004,Nitrogen impacts on vegetation,NA,NA,NA,NA,NA
forest,NO_BFLY_002,Butterflies,NA,NA,NA,NA,NA
forest,NO_BUMB_002,Bumblebees,NA,NA,NA,NA,NA
forest,NO_DWTO_001,Total deadwood,NA,NA,NA,NA,NA
forest,NO_ALIE_004,Alien plantspecies,NA,NA,NA,NA,NA
forest,NO_AATS_002,Alien conifers,NA,NA,NA,NA,NA
forest,NO_ROSE_001,"Rowan, aspen and goat willow",NA,NA,NA,NA,NA
forest,NO_DTVS_001,Dead wood share,NA,NA,NA,NA,NA
forest,NO_MLFA_001,Multi-layered forest,NA,NA,NA,NA,NA
forest,NO_DLTA_001,Large trees,NA,NA,NA,NA,NA
forest,NO_MOOS_001,Moose,NA,NA,NA,NA,NA
forest,NO_DEER_001,Red deer,NA,NA,NA,NA,NA
forest,NO_ROED_001,Roe deer,NA,NA,NA,NA,NA
forest,NO_BAER_001,Brown bear,NA,NA,NA,NA,NA
forest,NO_LYNX_001,Lynx,NA,NA,NA,NA,NA
forest,NO_WOLF_001,Wolf,NA,NA,NA,NA,NA
forest,NO_BLAA_001,Bilberry cover,NA,NA,NA,NA,NA
forest,NO_BGSK_001,Old forest,NA,NA,NA,NA,NA
forest,NO_CONN_002,Connected low-infrastructure forest habitat,NA,NA,NA,NA,NA
mountain,NO_GLAC_001,Glaciers,NA,NA,NA,NA,NA
mountain,NO_SNOW_001,Snow depth,NA,NA,NA,NA,NA
mountain,NO_AFOX_001,Arctic fox,NA,NA,NA,NA,NA
mountain,NO_ALIE_002,Alien plant species,NA,NA,NA,NA,NA
mountain,NO_GOLD_001,Golden eagle,NA,NA,NA,NA,NA
mountain,NO_JERV_001,Wolverine,NA,NA,NA,NA,NA
mountain,NO_PTAR_001,Ptarmigan,NA,NA,NA,NA,NA
mountain,NO_FUHR_002,Warming impact on vegetation,NA,NA,NA,NA,NA
mountain,NO_LAVH_001,Lichen biomass,NA,NA,NA,NA,NA
mountain,NO_RODE_001,Small rodents,NA,NA,NA,NA,NA
mountain,NO_SLIT_001,Erosive disturbance,NA,NA,NA,NA,NA
