ecosystem,indicatorID,indicatorName,verbatimeName,ect,portal_created,protocol_number,description_public,protocol_owner,pressures,factsheet_url
forest,NO_AIVS_001,Ditching,Grøfting ,A1,FALSE,NA,NA,NINA,NA,NA
forest,NO_FUMO_004,Moisture impacts on vegetation,Fuktighetspåvirkning i vegetasjon ,A1,FALSE,NA,NA,NINA,NA,NA
forest,NO_FUNI_004,Nitrogen impacts on vegetation,Nitrogenpåvirkning i vegetasjon,A2,FALSE,NA,NA,NINA,NA,NA
forest,NO_BFLY_002,Butterflies,Dagsommerfugler,B1,FALSE,NA,NA,NINA,NA,NA
forest,NO_BUMB_002,Bumblebees,Humler  ,B1,FALSE,NA,NA,NINA,NA,NA
forest,NO_DWTO_001,Total deadwood,Dødvedmengde,B1,FALSE,NA,NA,NINA,NA,NA
forest,NO_ALIE_004,Alien plantspecies,Fremmede plantearter  ,B1,FALSE,NA,NA,NINA,NA,NA
forest,NO_AATS_002,Alien conifers,Fremmede bartrær,B1,FALSE,NA,NA,NINA,NA,NA
forest,NO_ROSE_001,"Rowan, aspen and goat willow","Rogn, osp og selje ",B1,FALSE,NA,NA,NINA,NA,NA
forest,NO_DTVS_001,Dead wood share,Dødvedandel,B2,FALSE,NA,NA,NINA,NA,NA
forest,NO_MLFA_001,Multi-layered forest,Flersjiktet skog ,B2,FALSE,NA,NA,NINA,NA,NA
forest,NO_DLTA_001,Large trees,Store trær,B2,FALSE,NA,NA,NINA,NA,NA
forest,NO_MOOS_001,Moose,Elg  ,B3,FALSE,NA,NA,NINA,NA,NA
forest,NO_DEER_001,Red deer,Hjort ,B3,FALSE,NA,NA,NINA,NA,NA
forest,NO_ROED_001,Roe deer,Rådyr ,B3,FALSE,NA,NA,NINA,NA,NA
forest,NO_BAER_001,Brown bear,Brunbjørn ,B3,FALSE,NA,NA,NINA,NA,NA
forest,NO_LYNX_001,Lynx,Gaupe ,B3,FALSE,NA,NA,NINA,NA,NA
forest,NO_WOLF_001,Wolf,Ulv ,B3,FALSE,NA,NA,NINA,NA,NA
forest,NO_BLAA_001,Bilberry cover,Blåbærdekning ,B3,FALSE,NA,NA,NINA,NA,NA
forest,NO_BGSK_001,Old forest,Biologisk gammel skog,C1,FALSE,NA,NA,NINA,NA,NA
forest,NO_CONN_002,Connected low-infrastructure forest habitat,Strukturell konnektivitet og arealbruksintensitet ,C1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_GLAC_001,Glaciers,Isbreer,A1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_SNOW_001,Snow depth,Snødybde,A1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_AFOX_001,Arctic fox,Fjellrev,B1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_ALIE_002,Alien plant species,Fremmede plantearter,B1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_GOLD_001,Golden eagle,Kongeørn,B1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_JERV_001,Wolverine,Jerv,B1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_PTAR_001,Ptarmigan,Fjellrype,B1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_FUHR_002,Warming impact on vegetation,Varmepåvirkning på vegetasjon,B1,FALSE,NA,NA,NINA,NA,NA
mountain,NO_LAVH_001,Lichen biomass,Reinlav,B2,FALSE,NA,NA,NINA,NA,NA
mountain,NO_RODE_001,Small rodents,Smågnagere,B3,FALSE,NA,NA,NINA,NA,NA
mountain,NO_SLIT_001,Erosive disturbance,Slitasje,B3,FALSE,NA,NA,NINA,NA,NA
