ecosystem,ECT,verbatimeName,indicatorName,indicatorID,reportingYears
forest,A1 Fysiske egenskaper ,Grøfting ,Ditching,,
forest,A1 Fysiske egenskaper ,Fuktighetspåvirkning i vegetasjon ,Moisture impacts on vegetation,,
forest,A2 Kjemiske egenskaper ,Nitrogenpåvirkning i vegetasjon,Nitrogen impacts on vegetation,,
forest,B1 Biologisk mangfold ,Dagsommerfugler,Butterflies,,
forest,B1 Biologisk mangfold ,Humler  ,Bumblebees,,
forest,B1 Biologisk mangfold ,Dødvedmengde,Total deadwood,,
forest,B1 Biologisk mangfold ,Fremmede plantearter  ,Alien plantspecies,,
forest,B1 Biologisk mangfold ,Fremmede bartrær,Alien conifers,,
forest,B1 Biologisk mangfold ,"Rogn, osp og selje ","Rowan, aspen and goat willow",,
forest,B2 Strukturelle egenskaper ,Dødvedandel,Dead wood share,,
forest,B2 Strukturelle egenskaper ,Flersjiktet skog ,Multi-layered forest,,
forest,B2 Strukturelle egenskaper ,Store trær,Large trees,,
forest,B3 Funksjonelle egenskaper ,Elg  ,Moose,,
forest,B3 Funksjonelle egenskaper ,Hjort ,Red deer,,
forest,B3 Funksjonelle egenskaper ,Rådyr ,Roe deer,,
forest,B3 Funksjonelle egenskaper ,Brunbjørn ,Brown bear,,
forest,B3 Funksjonelle egenskaper ,Gaupe ,Lynx,,
forest,B3 Funksjonelle egenskaper ,Ulv ,Wolf,,
forest,B3 Funksjonelle egenskaper ,Blåbærdekning ,Bilberry cover,,
forest,C1 Landskapsegenskaper ,Biologisk gammel skog,Old forest,,
forest,C1 Landskapsegenskaper ,Strukturell konnektivitet og arealbruksintensitet ,Connected low-infrastructure forest habitat,,
