ecosystem,ECT,verbatimeName,indicatorName,indicatorID,reportingYears,ect
forest,A1 Fysiske egenskaper ,Grøfting ,Ditching,NO_AIVS_001,NA,A1
forest,A1 Fysiske egenskaper ,Fuktighetspåvirkning i vegetasjon ,Moisture impacts on vegetation,NO_FUMO_004,NA,A1
forest,A2 Kjemiske egenskaper ,Nitrogenpåvirkning i vegetasjon,Nitrogen impacts on vegetation,NO_FUNI_004,NA,A2
forest,B1 Biologisk mangfold ,Dagsommerfugler,Butterflies,NO_BFLY_002,NA,B1
forest,B1 Biologisk mangfold ,Humler  ,Bumblebees,NO_BUMB_002,NA,B1
forest,B1 Biologisk mangfold ,Dødvedmengde,Total deadwood,NO_DWTO_001,NA,B1
forest,B1 Biologisk mangfold ,Fremmede plantearter  ,Alien plantspecies,NO_ALIE_004,NA,B1
forest,B1 Biologisk mangfold ,Fremmede bartrær,Alien conifers,NO_AATS_002,NA,B1
forest,B1 Biologisk mangfold ,"Rogn, osp og selje ","Rowan, aspen and goat willow",NO_ROSE_001,NA,B1
forest,B2 Strukturelle egenskaper ,Dødvedandel,Dead wood share,NO_DTVS_001,NA,B2
forest,B2 Strukturelle egenskaper ,Flersjiktet skog ,Multi-layered forest,NO_MLFA_001,NA,B2
forest,B2 Strukturelle egenskaper ,Store trær,Large trees,NO_DLTA_001,NA,B2
forest,B3 Funksjonelle egenskaper ,Elg  ,Moose,NO_MOOS_001,NA,B3
forest,B3 Funksjonelle egenskaper ,Hjort ,Red deer,NO_DEER_001,NA,B3
forest,B3 Funksjonelle egenskaper ,Rådyr ,Roe deer,NO_ROED_001,NA,B3
forest,B3 Funksjonelle egenskaper ,Brunbjørn ,Brown bear,NO_BAER_001,NA,B3
forest,B3 Funksjonelle egenskaper ,Gaupe ,Lynx,NO_LYNX_001,NA,B3
forest,B3 Funksjonelle egenskaper ,Ulv ,Wolf,NO_WOLF_001,NA,B3
forest,B3 Funksjonelle egenskaper ,Blåbærdekning ,Bilberry cover,NO_BLAA_001,NA,B3
forest,C1 Landskapsegenskaper ,Biologisk gammel skog,Old forest,NO_BGSK_001,NA,C1
forest,C1 Landskapsegenskaper ,Strukturell konnektivitet og arealbruksintensitet ,Connected low-infrastructure forest habitat,NO_CONN_002,NA,C1
mountain,A1 Fysiske egenskaper,Isbreer,Glaciers,NO_GLAC_001,NA,A1
mountain,A1 Fysiske egenskaper,Snødybde,Snow depth,NO_SNOW_001,NA,A1
mountain,B1 Biologisk mangfold,Fjellrev,Arctic fox,NO_AFOX_001,NA,B1
mountain,B1 Biologisk mangfold,Fremmede plantearter,Alien plant species,NO_ALIE_002,NA,B1
mountain,B1 Biologisk mangfold,Kongeørn,Golden eagle,NO_GOLD_001,NA,B1
mountain,B1 Biologisk mangfold,Jerv,Wolverine,NO_JERV_001,NA,B1
mountain,B1 Biologisk mangfold,Fjellrype,Ptarmigan,NO_PTAR_001,NA,B1
mountain,B1 Biologisk mangfold,Varmepåvirkning på vegetasjon,Warming impact on vegetation,NO_FUHR_002,NA,B1
mountain,B2 Strukturelle egenskaper,Reinlav,Lichen biomass,NO_LAVH_001,NA,B2
mountain,B3 Funksjonelle egenskaper,Smågnagere,Small rodents,NO_RODE_001,NA,B3
mountain,B3 Funksjonelle egenskaper,Slitasje,Erosive disturbance,NO_SLIT_001,NA,B3
