ecosystem,ECT,verbatimeName,indicatorName,indicatorID,reportingYears
mountain,A1 Fysiske egenskaper,Glacier area,Glacier area,NO_GLAC_001,
mountain,B1 Biologisk mangfold,Arctic fox,Arctic fox,NO_AFOX_001,
mountain,B1 Biologisk mangfold,Alien plants,Alien plants,NO_ALIE_002,
mountain,B1 Biologisk mangfold,Golden eagle,Golden eagle,NO_GOLD_001,
mountain,B1 Biologisk mangfold,Wolverine,Wolverine,NO_JERV_001,
mountain,B1 Biologisk mangfold,Ptarmigan,Ptarmigan,NO_PTAR_001,
mountain,B1 Biologisk mangfold,Vegetation functional indicators,Vegetation functional indicators,NO_FUNC_xxx,
mountain,B3 Funksjonelle egenskaper,Small rodents,Small rodents,NO_RODE_001,
mountain,B3 Funksjonelle egenskaper,Trampling disturbance,Trampling disturbance,NO_SLIT_001,
mountain,C1 Landskapsegenskaper,Disturbance index,Disturbance index,NO_DIST_001,
