ecosystem,ECT,verbatimeName,indicatorName,indicatorID,reportingYears,ect,folder,results_path,weight,national_weight_scheme,match_status,has_results,results_ref,results_url,results_source
forest,A1 Fysiske egenskaper ,Grøfting ,Ditching,NO_AIVS_001,NA,A1,NO_AIVS_001,indicators/NO_AIVS_001/data/results_NO_AIVS_001.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_AIVS_001/data/results_NO_AIVS_001.csv,main
forest,A1 Fysiske egenskaper ,Fuktighetspåvirkning i vegetasjon ,Moisture impacts on vegetation,NO_FUMO_004,NA,A1,NO_FUMO_004,indicators/NO_FUMO_004/data/results_NO_FUMO_004.parquet,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_FUMO_004/data/results_NO_FUMO_004.parquet,main
forest,A2 Kjemiske egenskaper ,Nitrogenpåvirkning i vegetasjon,Nitrogen impacts on vegetation,NO_FUNI_004,NA,A2,NO_FUNI_004,indicators/NO_FUNI_004/data/results_NO_FUNI_004.parquet,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_FUNI_004/data/results_NO_FUNI_004.parquet,main
forest,B1 Biologisk mangfold ,Dagsommerfugler,Butterflies,NO_BFLY_002,NA,B1,NO_BFLY_001_002,indicators/NO_BFLY_001_002/data/results_NO_BFLY_002_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_BFLY_001_002/data/results_NO_BFLY_002_v1.0.0.csv,main
forest,B1 Biologisk mangfold ,Humler  ,Bumblebees,NO_BUMB_002,NA,B1,NO_BUMB_001_002,indicators/NO_BUMB_001_002/data/results_NO_BUMB_002_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_BUMB_001_002/data/results_NO_BUMB_002_v1.0.0.csv,main
forest,B1 Biologisk mangfold ,Dødvedmengde,Total deadwood,NO_DWTO_001,NA,B1,NO_DWTO_001,indicators/NO_DWTO_001/data/dwto_mc_regional.rds,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_DWTO_001/data/dwto_mc_regional.rds,main
forest,B1 Biologisk mangfold ,Fremmede plantearter  ,Alien plantspecies,NO_ALIE_004,NA,B1,NO_ALIE_004,indicators/NO_ALIE_004/data/results_NO_ALIE_004_sim.parquet,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_ALIE_004/data/results_NO_ALIE_004_sim.parquet,main
forest,B1 Biologisk mangfold ,Fremmede bartrær,Alien conifers,NO_AATS_002,NA,B1,NO_AATS_002,data/aats_mc_regional.rds,1,equal,matched,TRUE,submission-NO_AATS_002,https://raw.githubusercontent.com/NINAnor/ecRxiv/submission-NO_AATS_002/data/aats_mc_regional.rds,branch
forest,B1 Biologisk mangfold ,"Rogn, osp og selje ","Rowan, aspen and goat willow",NO_ROSE_001,NA,B1,NO_ROSE_001,indicators/NO_ROSE_001/data/rose_mc_regional.rds,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_ROSE_001/data/rose_mc_regional.rds,main
forest,B2 Strukturelle egenskaper ,Dødvedandel,Dead wood share,NO_DTVS_001,NA,B2,NO_DTVS_001,indicators/NO_DTVS_001/data/dtvs_mc_regional.rds,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_DTVS_001/data/dtvs_mc_regional.rds,main
forest,B2 Strukturelle egenskaper ,Flersjiktet skog ,Multi-layered forest,NO_MLFA_001,NA,B2,NO_MLFA_001,indicators/NO_MLFA_001/data/mlfa_mc_regional.rds,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_MLFA_001/data/mlfa_mc_regional.rds,main
forest,B2 Strukturelle egenskaper ,Store trær,Large trees,NO_DLTA_001,NA,B2,NO_DLTA_001,indicators/NO_DLTA_001/data/dlta_mc_regional.rds,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_DLTA_001/data/dlta_mc_regional.rds,main
forest,B3 Funksjonelle egenskaper ,Elg  ,Moose,NO_MOOS_001,NA,B3,NO_MOOS_001,indicators/NO_MOOS_001/data/results_NO_MOOS_001_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_MOOS_001/data/results_NO_MOOS_001_v1.0.0.csv,main
