"period","region","sampled_mean"
"2020-2024","1",0.521193181041359
"2020-2024","1",0.546929986067385
"2020-2024","1",0.527185773699232
"2020-2024","1",0.53634062255549
"2020-2024","1",0.520429172125944
"2020-2024","1",0.521076676246728
"2020-2024","1",0.533550110932644
"2020-2024","1",0.527439615434899
"2020-2024","1",0.534669791873969
"2020-2024","1",0.543319259044817
"2020-2024","1",0.539561944647225
"2020-2024","1",0.513402084095352
"2020-2024","1",0.519908067513228
"2020-2024","1",0.525488402548841
"2020-2024","1",0.526473120093131
"2020-2024","1",0.528388529468291
"2020-2024","1",0.530551417926076
"2020-2024","1",0.528238424641455
"2020-2024","1",0.51474957833587
"2020-2024","1",0.520608411629242
"2020-2024","1",0.528458796365139
"2020-2024","1",0.530680585274334
"2020-2024","1",0.53728282894634
"2020-2024","1",0.529237377020152
"2020-2024","1",0.527580093592358
"2020-2024","1",0.547775620518707
"2020-2024","1",0.548082981443851
"2020-2024","1",0.526838533717349
"2020-2024","1",0.529976034272346
"2020-2024","1",0.521729756704118
"2020-2024","1",0.536246407836294
"2020-2024","1",0.524232981194227
"2020-2024","1",0.526842905342445
"2020-2024","1",0.539442629532752
"2020-2024","1",0.534433161543916
"2020-2024","1",0.535273801833796
"2020-2024","1",0.532658062487805
"2020-2024","1",0.535423854316824
"2020-2024","1",0.528970725693993
"2020-2024","1",0.525524718190002
"2020-2024","1",0.535608537539465
"2020-2024","1",0.523388103205193
"2020-2024","1",0.538089355446267
"2020-2024","1",0.537298968535825
"2020-2024","1",0.531027741294674
"2020-2024","1",0.535101220682422
"2020-2024","1",0.528379134799148
"2020-2024","1",0.528835776492084
"2020-2024","1",0.543058627587065
"2020-2024","1",0.52724722306049
"2020-2024","1",0.529765754260109
"2020-2024","1",0.531263138716817
"2020-2024","1",0.533649857397278
"2020-2024","1",0.524112312442873
"2020-2024","1",0.539315282671128
"2020-2024","1",0.52590528174618
"2020-2024","1",0.536538983130737
"2020-2024","1",0.538061134095529
"2020-2024","1",0.530353355159789
"2020-2024","1",0.523559418491899
"2020-2024","1",0.520432033547601
"2020-2024","1",0.542170448173796
"2020-2024","1",0.53389504370999
"2020-2024","1",0.52156457438892
"2020-2024","1",0.53989327709783
"2020-2024","1",0.548500548009125
"2020-2024","1",0.536542996976817
"2020-2024","1",0.5270367006805
