"period","region","sampled_mean"
"2015-2019","1",0.885334755061739
"2015-2019","1",0.892662876777718
"2015-2019","1",0.893190359604809
"2015-2019","1",0.893471782283851
"2015-2019","1",0.897064860397225
"2015-2019","1",0.893100390832933
"2015-2019","1",0.905608774359788
"2015-2019","1",0.901718260585156
"2015-2019","1",0.88772978518939
"2015-2019","1",0.90429276495149
"2015-2019","1",0.89530749767749
"2015-2019","1",0.901403019606185
"2015-2019","1",0.89609501030377
"2015-2019","1",0.902875844574516
"2015-2019","1",0.893918265655387
"2015-2019","1",0.886919315720139
"2015-2019","1",0.894934992172653
"2015-2019","1",0.890341463598335
"2015-2019","1",0.891262456343092
"2015-2019","1",0.892210161048183
"2015-2019","1",0.896527709867752
"2015-2019","1",0.896311062900663
"2015-2019","1",0.903071582547815
"2015-2019","1",0.892429462991445
"2015-2019","1",0.898626193898302
"2015-2019","1",0.893689880101684
"2015-2019","1",0.897400173488346
"2015-2019","1",0.900563833933993
"2015-2019","1",0.890451222894023
"2015-2019","1",0.904544645214167
"2015-2019","1",0.900847586839944
"2015-2019","1",0.891639141930385
"2015-2019","1",0.896658857053451
"2015-2019","1",0.90407135964827
"2015-2019","1",0.89968475134859
"2015-2019","1",0.905155304200691
"2015-2019","1",0.902241661521859
"2015-2019","1",0.896340398040624
"2015-2019","1",0.891359462807304
"2015-2019","1",0.899503593077078
"2015-2019","1",0.903559501469201
"2015-2019","1",0.907842801225221
"2015-2019","1",0.893295509384804
"2015-2019","1",0.89506615103305
"2015-2019","1",0.895588483882407
"2015-2019","1",0.888467406311376
"2015-2019","1",0.896561535065296
"2015-2019","1",0.901827686154086
"2015-2019","1",0.903375956857454
"2015-2019","1",0.889735887947491
"2015-2019","1",0.902934858007087
"2015-2019","1",0.887858804685708
"2015-2019","1",0.893248609804548
"2015-2019","1",0.88519734596313
"2015-2019","1",0.891954195317195
"2015-2019","1",0.907838858068092
"2015-2019","1",0.894566673764613
"2015-2019","1",0.902557894680312
"2015-2019","1",0.895278320048236
"2015-2019","1",0.895682640897043
"2015-2019","1",0.879870482395009
"2015-2019","1",0.887492446584302
"2015-2019","1",0.899169722090847
"2015-2019","1",0.893190149359039
"2015-2019","1",0.899161089779818
"2015-2019","1",0.888531384711512
"2015-2019","1",0.902511311741938
"2015-2019","1",0.897955076757745
"2015-2019","1",0.89440501787259
"2015-2019","1",0.90502392308939
"2015-2019","1",0.898497425387283
"2015-2019","1",0.900909641982012
"2015-2019","1",0.891135024879839
"2015-2019","1",0.901506884709202
"2015-2019","1",0.904000733754953
