ecosystem,indicator_id,indicator_name,part,year,source_year
forest,NO_ALIE_004,Alien plantspecies,C,2019,2024
forest,NO_ALIE_004,Alien plantspecies,E,2019,2024
forest,NO_ALIE_004,Alien plantspecies,N,2019,2024
forest,NO_ALIE_004,Alien plantspecies,Norway,2019,2024
forest,NO_ALIE_004,Alien plantspecies,S,2019,2024
forest,NO_ALIE_004,Alien plantspecies,W,2019,2024
forest,NO_BFLY_002,Butterflies,W,2019,2024
forest,NO_BUMB_002,Bumblebees,W,2019,2024
forest,NO_CONN_002,Connected low-infrastructure forest habitat,C,2019,2024
forest,NO_CONN_002,Connected low-infrastructure forest habitat,E,2019,2024
forest,NO_CONN_002,Connected low-infrastructure forest habitat,N,2019,2024
forest,NO_CONN_002,Connected low-infrastructure forest habitat,Norway,2019,2024
forest,NO_CONN_002,Connected low-infrastructure forest habitat,S,2019,2024
forest,NO_CONN_002,Connected low-infrastructure forest habitat,W,2019,2024
forest,NO_FUMO_004,Moisture impacts on vegetation,C,2019,2024
forest,NO_FUMO_004,Moisture impacts on vegetation,E,2019,2024
forest,NO_FUMO_004,Moisture impacts on vegetation,N,2019,2024
forest,NO_FUMO_004,Moisture impacts on vegetation,Norway,2019,2024
forest,NO_FUMO_004,Moisture impacts on vegetation,S,2019,2024
forest,NO_FUMO_004,Moisture impacts on vegetation,W,2019,2024
forest,NO_FUNI_004,Nitrogen impacts on vegetation,C,2019,2024
forest,NO_FUNI_004,Nitrogen impacts on vegetation,E,2019,2024
forest,NO_FUNI_004,Nitrogen impacts on vegetation,N,2019,2024
forest,NO_FUNI_004,Nitrogen impacts on vegetation,Norway,2019,2024
forest,NO_FUNI_004,Nitrogen impacts on vegetation,S,2019,2024
forest,NO_FUNI_004,Nitrogen impacts on vegetation,W,2019,2024
mountain,NO_ALIE_002,Alien plant species,C,2019,2024
mountain,NO_ALIE_002,Alien plant species,E,2019,2024
mountain,NO_ALIE_002,Alien plant species,N,2019,2024
mountain,NO_ALIE_002,Alien plant species,Norway,2019,2024
mountain,NO_ALIE_002,Alien plant species,S,2019,2024
mountain,NO_ALIE_002,Alien plant species,W,2019,2024
mountain,NO_FUHR_002,Warming impact on vegetation,C,2019,2024
mountain,NO_FUHR_002,Warming impact on vegetation,E,2019,2024
mountain,NO_FUHR_002,Warming impact on vegetation,N,2019,2024
mountain,NO_FUHR_002,Warming impact on vegetation,Norway,2019,2024
mountain,NO_FUHR_002,Warming impact on vegetation,S,2019,2024
mountain,NO_FUHR_002,Warming impact on vegetation,W,2019,2024
mountain,NO_GLAC_001,Glaciers,C,2019,2024
mountain,NO_GLAC_001,Glaciers,E,2019,2024
mountain,NO_GLAC_001,Glaciers,N,2019,2024
mountain,NO_GLAC_001,Glaciers,Norway,2019,2024
mountain,NO_GLAC_001,Glaciers,S,2019,2024
mountain,NO_GLAC_001,Glaciers,W,2019,2024
mountain,NO_SLIT_001,Erosive disturbance,C,2019,2024
mountain,NO_SLIT_001,Erosive disturbance,E,2019,2024
mountain,NO_SLIT_001,Erosive disturbance,N,2019,2024
mountain,NO_SLIT_001,Erosive disturbance,Norway,2019,2024
mountain,NO_SLIT_001,Erosive disturbance,S,2019,2024
mountain,NO_SLIT_001,Erosive disturbance,W,2019,2024
