ecosystem,indicator_id,indicator_name,year,n_areas,min_estimate,max_estimate
forest,NO_AATS_002,Alien conifers,2019,6,0.8613898933974312,0.9959493413955365
forest,NO_AATS_002,Alien conifers,2024,6,0.8646637005645391,0.9969824399691805
forest,NO_AIVS_001,Ditching,2019,6,0.9096252480216676,0.982009582108428
forest,NO_AIVS_001,Ditching,2024,6,0.900331850891119,0.980459704729608
forest,NO_ALIE_004,Alien plantspecies,2024,6,0.9777519365474832,0.9990312999368869
forest,NO_BAER_001,Brown bear,2019,6,0,0.039878001490274345
forest,NO_BAER_001,Brown bear,2024,6,0,0.0443007572637506
forest,NO_BFLY_002,Butterflies,2019,4,0.404080291970803,0.600417218543046
forest,NO_BFLY_002,Butterflies,2024,5,0.475536842105263,0.60521568627451
forest,NO_BGSK_001,Old forest,2019,6,0.2055454013547341,0.32347988091934865
forest,NO_BGSK_001,Old forest,2024,6,0.2482762745321201,0.38913131463619915
forest,NO_BLAA_001,Bilberry cover,2019,6,0.384000235958311,0.9301152647781574
forest,NO_BLAA_001,Bilberry cover,2024,6,0.550575649373208,0.9893953702382969
forest,NO_BUMB_002,Bumblebees,2019,4,0.458267857142857,0.743116279069767
forest,NO_BUMB_002,Bumblebees,2024,5,0.536925925925926,0.685788461538462
forest,NO_CONN_002,Connected low-infrastructure forest habitat,2024,6,0.673620415770723,0.776849888155483
forest,NO_DEER_001,Red deer,2019,6,2.27171378226255e-4,0.7935584829053774
forest,NO_DEER_001,Red deer,2024,6,0.00195103744372459,0.7289863718763046
forest,NO_DLTA_001,Large trees,2019,6,0.2555757361630856,0.47869280633112227
forest,NO_DLTA_001,Large trees,2024,6,0.2857870859908412,0.48804952491015396
forest,NO_DTVS_001,Dead wood share,2019,6,0.19921065406857702,0.409777941616856
forest,NO_DTVS_001,Dead wood share,2024,6,0.2161416291366902,0.45502811628742423
forest,NO_DWTO_001,Total deadwood,2019,6,0.11677336153459661,0.18693730635368608
forest,NO_DWTO_001,Total deadwood,2024,6,0.13347333154019633,0.21700186618547296
forest,NO_FUMO_004,Moisture impacts on vegetation,2024,6,0.5476411266774652,0.6303312429202941
forest,NO_FUNI_004,Nitrogen impacts on vegetation,2024,6,0.6269914414990856,0.6510222596588735
forest,NO_LYNX_001,Lynx,2019,6,0.00302675938742981,0.183865924401229
forest,NO_LYNX_001,Lynx,2024,6,0.002783699588300305,0.1974929380042475
forest,NO_MLFA_001,Multi-layered forest,2019,6,0.4072738937175479,0.6405738951542035
forest,NO_MLFA_001,Multi-layered forest,2024,6,0.40306221566009975,0.6797420181503457
forest,NO_MOOS_001,Moose,2019,6,0.016712088510930048,0.632924497055336
forest,NO_MOOS_001,Moose,2024,6,0.0016187003914296,0.771041405268718
forest,NO_ROED_001,Roe deer,2019,5,0,0.357836500015343
forest,NO_ROED_001,Roe deer,2024,5,0,0.43167612142067
forest,NO_ROSE_001,"Rowan, aspen and goat willow",2019,6,0.34380845898971557,0.6465783991988862
forest,NO_ROSE_001,"Rowan, aspen and goat willow",2024,6,0.3367182829937104,0.6665622763409855
forest,NO_WOLF_001,Wolf,2019,6,0,0.1901607218138455
forest,NO_WOLF_001,Wolf,2024,6,0,0.1629654665276985
mountain,NO_AFOX_001,Arctic fox,2019,6,0.0150422095663018,0.069738073305444
mountain,NO_AFOX_001,Arctic fox,2024,6,0.0122884341994148,0.05281726870466125
mountain,NO_ALIE_002,Alien plant species,2024,6,0.9993309803921568,1
mountain,NO_FUHR_002,Warming impact on vegetation,2024,6,0.36226278858665595,0.45791253641088236
mountain,NO_GLAC_001,Glaciers,2024,6,0.1020078012181245,0.6790047343511294
mountain,NO_GOLD_001,Golden eagle,2019,6,0.889634732745354,0.9056511890301115
mountain,NO_GOLD_001,Golden eagle,2024,6,0.8908634210245265,0.9025926269969116
mountain,NO_JERV_001,Wolverine,2019,6,0.01403509602512365,0.2418600936750125
mountain,NO_JERV_001,Wolverine,2024,6,0.03260826365037095,0.2111112550873755
mountain,NO_LAVH_001,Lichen biomass,2019,5,0.7086016245064125,0.859851586942799
mountain,NO_LAVH_001,Lichen biomass,2024,5,0.6556546811012575,0.8859645325416035
mountain,NO_PTAR_001,Ptarmigan,2019,6,0.30556198939442747,0.5247129668865915
mountain,NO_PTAR_001,Ptarmigan,2024,6,0.1268992721249985,0.46499346236842853
mountain,NO_RODE_001,Small rodents,2019,6,0.03704630529175565,0.344632854949037
mountain,NO_RODE_001,Small rodents,2024,6,0.11995182370126001,0.39967777119186954
mountain,NO_SLIT_001,Erosive disturbance,2024,6,0.9999954464345329,0.9999999999999992
mountain,NO_SNOW_001,Snow depth,2019,6,0.8723624864140596,0.977089065923723
mountain,NO_SNOW_001,Snow depth,2024,6,0.8723624864140596,0.977089065923723
