"period","region","sampled_mean"
"2020-2024","1",0.53862974045174
"2020-2024","1",0.52832236036136
"2020-2024","1",0.533658755203126
"2020-2024","1",0.524409189652792
"2020-2024","1",0.54845360697925
"2020-2024","1",0.521885767092966
"2020-2024","1",0.543068946522945
"2020-2024","1",0.530517325249485
"2020-2024","1",0.53824684600639
"2020-2024","1",0.52851949309087
"2020-2024","1",0.525112161993663
"2020-2024","1",0.525694175587539
"2020-2024","1",0.539301076460974
"2020-2024","1",0.534525194949693
"2020-2024","1",0.522926617360623
"2020-2024","1",0.529256674617996
"2020-2024","1",0.526315096494753
"2020-2024","1",0.538038817870802
"2020-2024","1",0.522984877627515
"2020-2024","1",0.535033701711259
"2020-2024","1",0.530657819240409
"2020-2024","1",0.533363361402823
"2020-2024","1",0.529704775344048
"2020-2024","1",0.529411660221124
"2020-2024","1",0.519796786845967
"2020-2024","1",0.534733941335099
"2020-2024","1",0.531879355652902
"2020-2024","1",0.518623687985938
"2020-2024","1",0.522137810994323
"2020-2024","1",0.534013981522593
"2020-2024","1",0.527666926463626
"2020-2024","1",0.529965902607569
"2020-2024","1",0.52627447714533
"2020-2024","1",0.528474051179524
"2020-2024","1",0.523284803653465
"2020-2024","1",0.53089000398889
"2020-2024","1",0.526346276242088
"2020-2024","1",0.525634755760717
"2020-2024","1",0.529055632419425
"2020-2024","1",0.518546900536718
"2020-2024","1",0.530712788809195
"2020-2024","1",0.526929640559009
"2020-2024","1",0.539996647239112
"2020-2024","1",0.528495184143422
"2020-2024","1",0.532141205115756
"2020-2024","1",0.540257380260618
"2020-2024","1",0.518843699487319
"2020-2024","1",0.530529674815171
"2020-2024","1",0.53048106923567
"2020-2024","1",0.525706290354749
"2020-2024","1",0.537403653409938
"2020-2024","1",0.529725485344626
"2020-2024","1",0.537714495354699
"2020-2024","1",0.531465573683946
"2020-2024","1",0.543589619986889
"2020-2024","1",0.535230126235901
"2020-2024","1",0.542908114184624
"2020-2024","1",0.536531360433132
"2020-2024","1",0.526112672898987
"2020-2024","1",0.525068264087303
"2020-2024","1",0.53834195233282
"2020-2024","1",0.516647534319333
"2020-2024","1",0.529427552592748
"2020-2024","1",0.540667610378393
"2020-2024","1",0.521688230532956
"2020-2024","1",0.533650350021217
"2020-2024","1",0.537512039208791
"2020-2024","1",0.528575148812354
"2020-2024","1",0.540002259432367
"2020-2024","1",0.534316739949046
"2020-2024","1",0.522696192200891
"2020-2024","1",0.536119093930366
"2020-2024","1",0.531375053980826
"2020-2024","1",0.531115810054362
"2020-2024","1",0.513578764349892
"2020-2024","1",0.532556109234457
"2020-2024","1",0.53577440095803
"2020-2024","1",0.525749881862044
"2020-2024","1",0.525137633462829
"2020-2024","1",0.527788772468122
"2020-2024","1",0.517377558348049
"2020-2024","1",0.536409827239371
"2020-2024","1",0.53591542577755
"2020-2024","1",0.527290882605913
"2020-2024","1",0.532320845318759
"2020-2024","1",0.545688470335655
"2020-2024","1",0.537573355542284
"2020-2024","1",0.530844904031484
