AUD, BRUK GRØNN KOLONNE;VegType_Fukt;ArealGrunnlag_GROFTET;ArealGrunnlag_GROFTET_final
;0-1;0;0
;0-2;0;0
;0-NA;0;0
Lavskog;11-1;0;0
Lavskog;11-2;0;0
Lavskog;11-3;0;0
Blokkebærskog;12-1;0;0
Blokkebærskog;12-2;0;1
Blokkebærskog;12-3;1;1
Bærlyngskog;13-1;0;0
Bærlyngskog;13-2;0;1
Bærlyngskog;13-3;1;1
Blåbærskog;14-1;0;0
Blåbærskog;14-2;1;1
Blåbærskog;14-3;1;1
Småbregneskog;15-1;1;1
Småbregneskog;15-2;1;1
Småbregneskog;15-3;1;1
Storbregneskog;16-1;1;1
Storbregneskog;16-2;1;1
Storbregneskog;16-3;1;1
Kalklågurtskog;21-1;0;0
Kalklågurtskog;21-2;0;1
Kalklågurtskog;21-3;0;1
Lågurtskog;22-1;0;0
Lågurtskog;22-2;1;1
Lågurtskog;22-3;1;1
Høgstaudeskog;24-1;1;1
Høgstaudeskog;24-2;1;1
Høgstaudeskog;24-3;1;1
Hagemarksskog;26-1;0;1
Hagemarksskog;26-2;0;1
Hagemarksskog;26-3;0;1
Gråorskog;33-1;1;1
Gråorskog;33-2;1;1
Gråorskog;33-3;1;1
Flommarksskog;34-2;1;1
Flommarksskog;34-3;1;1
Blåbæreikeskog;41-1;0;0
Blåbæreikeskog;41-2;1;1
Lågurt-eikeskog;42-1;1;0
Lågurt-eikeskog;42-2;1;1
Lågurt-eikeskog;42-3;1;1
Blåbærbøkeskog;43-NA;1;1
Lågurt-bøkeskog;44-NA;1;1
Alm-lindskog;45-1;0;0
Alm-lindskog;45-2;1;1
Alm-lindskog;45-3;1;1
Or-askeskog;46-1;1;1
Or-askeskog;46-2;1;1
Or-askeskog;46-3;1;1
Viersump;51-NA;1;1
Gran-bjørke-sump;52-NA;1;1
Lauv-vier-sump;54-NA;1;1
Furumyrskog;61-NA;1;1
Nedbørsmyr;71-NA;1;1
Fattig-gras-og-starrmyr;72-NA;1;1
Rik_gras-og-starr-myr;73-NA;1;1
Kystlynghei;81-1;0;0
Kystlynghei;81-2;0;0
Kystlynghei;81-3;0;0
Alpin-hei;91-NA;0;0
Alpin-eng;92-NA;0;0
NA;NA-NA;0;0
