"period","region","sampled_mean"
"2015-2019","1",0.904371221975094
"2015-2019","1",0.907465031931933
"2015-2019","1",0.910995177489558
"2015-2019","1",0.909621770116197
"2015-2019","1",0.908657074134391
"2015-2019","1",0.922854972798557
"2015-2019","1",0.90825356224139
"2015-2019","1",0.909182703117257
"2015-2019","1",0.916586451765672
"2015-2019","1",0.909276913621824
"2015-2019","1",0.9137273756096
"2015-2019","1",0.909347519138517
"2015-2019","1",0.906787521251379
"2015-2019","1",0.912403470556349
"2015-2019","1",0.906759609143048
"2015-2019","1",0.909834679294376
"2015-2019","1",0.908875778045359
"2015-2019","1",0.924302276383673
"2015-2019","1",0.896395820923371
"2015-2019","1",0.906055793296003
"2015-2019","1",0.904735215694981
"2015-2019","1",0.916364552180056
"2015-2019","1",0.909698422996781
"2015-2019","1",0.906444727174748
"2015-2019","1",0.907055142817715
"2015-2019","1",0.914763774358489
"2015-2019","1",0.910645257510446
"2015-2019","1",0.913834852910523
"2015-2019","1",0.899595530842787
"2015-2019","1",0.914688911033711
"2015-2019","1",0.906480127986447
"2015-2019","1",0.90968581969323
"2015-2019","1",0.907668826123857
"2015-2019","1",0.91084070559322
"2015-2019","1",0.902199225928901
"2015-2019","1",0.910256605174426
"2015-2019","1",0.910061542339975
"2015-2019","1",0.905916486281062
"2015-2019","1",0.913254372496655
"2015-2019","1",0.904985832160483
"2015-2019","1",0.915977246942849
"2015-2019","1",0.908132696958747
"2015-2019","1",0.914147783582426
"2015-2019","1",0.900495335771645
"2015-2019","1",0.898148607492027
"2015-2019","1",0.904925550654504
"2015-2019","1",0.902497037443302
"2015-2019","1",0.901932704879045
"2015-2019","1",0.918846072651904
"2015-2019","1",0.90639655290525
"2015-2019","1",0.912060325239982
"2015-2019","1",0.908898078911154
"2015-2019","1",0.907673322105341
"2015-2019","1",0.91068791637049
"2015-2019","1",0.918527033524421
"2015-2019","1",0.90915841746092
"2015-2019","1",0.911382745209437
"2015-2019","1",0.908195834993242
"2015-2019","1",0.90921256897359
"2015-2019","1",0.910483315281902
"2015-2019","1",0.921190729130944
"2015-2019","1",0.915235698492368
"2015-2019","1",0.90760740159075
"2015-2019","1",0.916356794953106
"2015-2019","1",0.909464389561733
"2015-2019","1",0.909742805145095
"2015-2019","1",0.907646127239023
"2015-2019","1",0.914025081293863
"2015-2019","1",0.919260729416459
"2015-2019","1",0.909300432293385
"2015-2019","1",0.910073625719003
"2015-2019","1",0.915878844431012
"2015-2019","1",0.911259041953342
"2015-2019","1",0.914535664688865
"2015-2019","1",0.923148869939733
"2015-2019","1",0.901389422781996
"2015-2019","1",0.907778499291573
"2015-2019","1",0.912944587916752
"2015-2019","1",0.909921837487065
"2015-2019","1",0.904962498234965
"2015-2019","1",0.919125905198395
"2015-2019","1",0.90705022344636
"2015-2019","1",0.906514991359301
"2015-2019","1",0.908790105127975
"2015-2019","1",0.907960333479497
"2015-2019","1",0.907038794008933
"2015-2019","1",0.907833765112155
"2015-2019","1",0.913294876356248
"2015-2019","1",0.905707565224521
"2015-2019","1",0.9107083963593
"2015-2019","1",0.910535298616874
"2015-2019","1",0.897970537540987
"2015-2019","1",0.91180301587973
"2015-2019","1",0.907936218281368
"2015-2019","1",0.911404689752775
"2015-2019","1",0.909859829561064
"2015-2019","1",0.904150053357606
"2015-2019","1",0.91132060817754
"2015-2019","1",0.91331085451189
"2015-2019","1",0.912348199373008
"2015-2019","1",0.907232748379316
"2015-2019","1",0.906311381348014
"2015-2019","1",0.923464547914125
"2015-2019","1",0.909069238313841
"2015-2019","1",0.901824343014633
"2015-2019","1",0.913699248499255
"2015-2019","1",0.911978469086825
"2015-2019","1",0.913594684881303
"2015-2019","1",0.915591045123256
"2015-2019","1",0.903877984874971
"2015-2019","1",0.90843681946509
"2015-2019","1",0.913649538715227
"2015-2019","1",0.910880012054849
"2015-2019","1",0.908601704561838
"2015-2019","1",0.902738920355378
"2015-2019","1",0.904558543163945
"2015-2019","1",0.916177816606203
"2015-2019","1",0.909590804779238
"2015-2019","1",0.910394220146705
"2015-2019","1",0.91251501609289
"2015-2019","1",0.904270079199405
"2015-2019","1",0.903052861358403
"2015-2019","1",0.905206752361926
"2015-2019","1",0.909343027067037
"2015-2019","1",0.907873875378049
"2015-2019","1",0.908984567214292
"2015-2019","1",0.906228198591865
"2015-2019","1",0.915534516195121
"2015-2019","1",0.916706901981122
"2015-2019","1",0.914217755441144
"2015-2019","1",0.906268301484087
"2015-2019","1",0.907341995542986
"2015-2019","1",0.910928549683987
"2015-2019","1",0.908005302765823
"2015-2019","1",0.911543839588707
"2015-2019","1",0.909896287983984
"2015-2019","1",0.909883859757861
"2015-2019","1",0.901673055655765
"2015-2019","1",0.906602150310405
"2015-2019","1",0.905334528145572
"2015-2019","1",0.912062644455743
"2015-2019","1",0.90490101125736
"2015-2019","1",0.904361144875805
"2015-2019","1",0.909048435490486
"2015-2019","1",0.914421581662762
"2015-2019","1",0.905231355707427
"2015-2019","1",0.913451629664856
"2015-2019","1",0.904396709850445
"2015-2019","1",0.908972182590993
"2015-2019","1",0.918489830811372
"2015-2019","1",0.917836691751228
"2015-2019","1",0.909964364938741
"2015-2019","1",0.91360027936929
"2015-2019","1",0.911159659009745
"2015-2019","1",0.915119671655671
"2015-2019","1",0.912756475422159
"2015-2019","1",0.907475490030931
"2015-2019","1",0.915421213976168
"2015-2019","1",0.901618410592743
"2015-2019","1",0.906704153732938
"2015-2019","1",0.905260731010214
"2015-2019","1",0.908660237883154
"2015-2019","1",0.914389218281326
"2015-2019","1",0.912955372498333
"2015-2019","1",0.913563707357055
"2015-2019","1",0.921916944552847
"2015-2019","1",0.907322742655557
"2015-2019","1",0.912391204098671
"2015-2019","1",0.909455829568416
"2015-2019","1",0.916361616368264
"2015-2019","1",0.902588512266661
"2015-2019","1",0.908167174381461
"2015-2019","1",0.903156707395854
"2015-2019","1",0.910048644424956
"2015-2019","1",0.907103649986109
"2015-2019","1",0.913468286678927
"2015-2019","1",0.908465385455226
"2015-2019","1",0.913278338983993
"2015-2019","1",0.909981569839873
"2015-2019","1",0.913926223328842
"2015-2019","1",0.908109350258746
"2015-2019","1",0.9163908262587
"2015-2019","1",0.913002143886355
"2015-2019","1",0.906476283700255
"2015-2019","1",0.909299995623085
"2015-2019","1",0.908521357188189
"2015-2019","1",0.906550659892507
"2015-2019","1",0.900572848552231
"2015-2019","1",0.904859058695323
"2015-2019","1",0.910680737811707
"2015-2019","1",0.915607408785176
"2015-2019","1",0.908616541470784
"2015-2019","1",0.910757217823203
"2015-2019","1",0.902419458335988
"2015-2019","1",0.910331408452608
"2015-2019","1",0.902853163280807
"2015-2019","1",0.910639257119591
"2015-2019","1",0.916133538459357
"2015-2019","1",0.905310250137308
"2015-2019","1",0.906585612300466
"2015-2019","1",0.903731363893317
"2015-2019","1",0.913394208031525
"2015-2019","1",0.904832093675597
"2015-2019","1",0.912120127164736
"2015-2019","1",0.909825450664418
"2015-2019","1",0.9031931087491
"2015-2019","1",0.909813870369177
"2015-2019","1",0.910664499877611
"2015-2019","1",0.910693024324506
"2015-2019","1",0.914039498133429
"2015-2019","1",0.906381065687637
"2015-2019","1",0.909885044567314
"2015-2019","1",0.914913847254259
"2015-2019","1",0.907452838237247
"2015-2019","1",0.910183986201359
"2015-2019","1",0.905153410897396
"2015-2019","1",0.906405977915841
"2015-2019","1",0.907181352709217
"2015-2019","1",0.910705965165069
"2015-2019","1",0.907487773828305
"2015-2019","1",0.907150709644113
"2015-2019","1",0.909787305090038
"2015-2019","1",0.903045781102333
"2015-2019","1",0.912302183362464
"2015-2019","1",0.916338418579857
"2015-2019","1",0.910272333176472
"2015-2019","1",0.914453815677775
"2015-2019","1",0.904943415940943
"2015-2019","1",0.903524733517668
"2015-2019","1",0.916215330694841
"2015-2019","1",0.912951876333619
"2015-2019","1",0.908642936573163
"2015-2019","1",0.908968793307698
"2015-2019","1",0.90884708379166
"2015-2019","1",0.908381822291069
"2015-2019","1",0.91928836136875
"2015-2019","1",0.915436755419523
"2015-2019","1",0.909078178651787
"2015-2019","1",0.905849724207702
"2015-2019","1",0.912050451115468
"2015-2019","1",0.905625912057465
"2015-2019","1",0.917004062496845
"2015-2019","1",0.913816556286576
"2015-2019","1",0.906325240695111
"2015-2019","1",0.910695550627961
"2015-2019","1",0.910544029125656
"2015-2019","1",0.910728011884022
"2015-2019","1",0.903146342294696
"2015-2019","1",0.9100059305551
"2015-2019","1",0.916232392786372
"2015-2019","1",0.899535100511693
"2015-2019","1",0.899757722617979
"2015-2019","1",0.911172867995228
"2015-2019","1",0.905145983819788
"2015-2019","1",0.907873841643632
"2015-2019","1",0.904402293230755
"2015-2019","1",0.917620872901702
"2015-2019","1",0.912620457418409
"2015-2019","1",0.906592632748005
"2015-2019","1",0.911516805693113
"2015-2019","1",0.918628547495249
"2015-2019","1",0.910535599574308
"2015-2019","1",0.90593098883048
"2015-2019","1",0.905382573232311
"2015-2019","1",0.909826533890558
"2015-2019","1",0.90267806451301
"2015-2019","1",0.910797152002025
"2015-2019","1",0.909459752649241
"2015-2019","1",0.91134898525862
"2015-2019","1",0.906402159901917
"2015-2019","1",0.913274470157799
"2015-2019","1",0.908509600828338
"2015-2019","1",0.908337460003305
"2015-2019","1",0.906838584868958
"2015-2019","1",0.909666312647358
"2015-2019","1",0.906898943788712
"2015-2019","1",0.900419873781956
"2015-2019","1",0.916275898936151
"2015-2019","1",0.923142535582008
"2015-2019","1",0.908290241053675
"2015-2019","1",0.92270753566448
"2015-2019","1",0.904373525243986
"2015-2019","1",0.911128325999714
"2015-2019","1",0.910395579918483
"2015-2019","1",0.903571286982389
"2015-2019","1",0.914916574494119
"2015-2019","1",0.909580822222513
"2015-2019","1",0.896415758893708
"2015-2019","1",0.906691251841078
"2015-2019","1",0.917350925887874
"2015-2019","1",0.916734613897491
"2015-2019","1",0.912240752793422
"2015-2019","1",0.907441491531242
"2015-2019","1",0.911924578935426
"2015-2019","1",0.90881345190309
"2015-2019","1",0.90642500668121
"2015-2019","1",0.903812632868271
"2015-2019","1",0.910309661585081
"2015-2019","1",0.913723450302819
"2015-2019","1",0.906348146192693
"2015-2019","1",0.908121325645175
"2015-2019","1",0.916589002380896
"2015-2019","1",0.923381407299364
"2015-2019","1",0.90742759948228
"2015-2019","1",0.911181837432493
"2015-2019","1",0.913225439866533
"2015-2019","1",0.903451328945394
"2015-2019","1",0.906078618392533
"2015-2019","1",0.908189417192565
"2015-2019","1",0.918230043691109
"2015-2019","1",0.912759500300611
"2015-2019","1",0.912807299276525
"2015-2019","1",0.90294168532272
"2015-2019","1",0.913990118290841
"2015-2019","1",0.908322495051936
"2015-2019","1",0.919274854359662
"2015-2019","1",0.911042646772461
"2015-2019","1",0.906955360851248
"2015-2019","1",0.918167712826332
"2015-2019","1",0.903220113598513
"2015-2019","1",0.913038416356184
"2015-2019","1",0.910124946879592
"2015-2019","1",0.914520727288245
"2015-2019","1",0.90767718325079
"2015-2019","1",0.911770075579441
"2015-2019","1",0.906882270458825
"2015-2019","1",0.908370728849554
"2015-2019","1",0.912934545036816
"2015-2019","1",0.905687518663595
"2015-2019","1",0.912533393282326
"2015-2019","1",0.921281748228657
"2015-2019","1",0.911696498012397
"2015-2019","1",0.904671523227962
"2015-2019","1",0.910980398171489
"2015-2019","1",0.905809905142942
"2015-2019","1",0.900493140476174
"2015-2019","1",0.901161818676545
"2015-2019","1",0.907366689028596
"2015-2019","1",0.914552803810825
"2015-2019","1",0.911304092588383
"2015-2019","1",0.916385234771477
"2015-2019","1",0.908318147699991
"2015-2019","1",0.916612960230585
"2015-2019","1",0.913518682930103
"2015-2019","1",0.913811149648549
"2015-2019","1",0.91422782158204
"2015-2019","1",0.904229234085318
"2015-2019","1",0.903982841866284
"2015-2019","1",0.909851891564765
"2015-2019","1",0.899784921268197
"2015-2019","1",0.912285318101823
"2015-2019","1",0.908956399486121
"2015-2019","1",0.904576163539418
"2015-2019","1",0.913730878311437
"2015-2019","1",0.903731929504595
"2015-2019","1",0.910091987191722
"2015-2019","1",0.912783439501818
"2015-2019","1",0.915049496253565
"2015-2019","1",0.918874872792721
"2015-2019","1",0.902098500430234
"2015-2019","1",0.911033872221923
"2015-2019","1",0.916941361425116
"2015-2019","1",0.907228549500784
"2015-2019","1",0.907875217315237
"2015-2019","1",0.895669202616515
"2015-2019","1",0.907723753883631
"2015-2019","1",0.91806268265127
"2015-2019","1",0.917613523527244
"2015-2019","1",0.917328374429611
"2015-2019","1",0.908288455887099
"2015-2019","1",0.915697107198776
"2015-2019","1",0.913177354339825
"2015-2019","1",0.911167626428979
"2015-2019","1",0.910468439675267
"2015-2019","1",0.899017502824972
"2015-2019","1",0.907421900492864
"2015-2019","1",0.906790078999353
"2015-2019","1",0.90838493868988
"2015-2019","1",0.915914729758896
"2015-2019","1",0.908239318614904
"2015-2019","1",0.902690820792998
"2015-2019","1",0.896094046631302
"2015-2019","1",0.902638235188966
"2015-2019","1",0.916757734172453
"2015-2019","1",0.915037734898166
"2015-2019","1",0.903277742686442
"2015-2019","1",0.903393231723297
"2015-2019","1",0.899416220994394
"2015-2019","1",0.909195070922395
"2015-2019","1",0.915818053420902
"2015-2019","1",0.912617725625781
"2015-2019","1",0.904704027172729
"2015-2019","1",0.909030934097026
"2015-2019","1",0.919091812095757
"2015-2019","1",0.908903791104452
"2015-2019","1",0.909466592966092
"2015-2019","1",0.909337672527904
"2015-2019","1",0.90811954168876
"2015-2019","1",0.91298071123245
"2015-2019","1",0.916753472625166
"2015-2019","1",0.908050412070272
"2015-2019","1",0.918094691790309
"2015-2019","1",0.915912567805148
"2015-2019","1",0.910004986347942
"2015-2019","1",0.910671598351733
"2015-2019","1",0.907412733809835
"2015-2019","1",0.907232568765827
"2015-2019","1",0.913419303483131
"2015-2019","1",0.906107675612587
