"period","region","sampled_mean"
"2010-2014","1",0.478888078036833
"2010-2014","1",0.461108834663256
"2010-2014","1",0.469178514385092
"2010-2014","1",0.463321478532594
"2010-2014","1",0.471521368970606
"2010-2014","1",0.460993331418754
"2010-2014","1",0.478895491007813
"2010-2014","1",0.453680316996473
"2010-2014","1",0.454618731800822
"2010-2014","1",0.466174874979497
"2010-2014","1",0.459041741708618
"2010-2014","1",0.482424928150463
"2010-2014","1",0.466448202440468
"2010-2014","1",0.471705366936876
"2010-2014","1",0.463938638768358
"2010-2014","1",0.474631071504859
"2010-2014","1",0.476867387283458
"2010-2014","1",0.475424268345764
"2010-2014","1",0.462835858863565
"2010-2014","1",0.44690364348414
"2010-2014","1",0.455297139434653
"2010-2014","1",0.461888379531678
"2010-2014","1",0.461329865452499
"2010-2014","1",0.473132987025653
"2010-2014","1",0.45169608693915
"2010-2014","1",0.461884676504881
"2010-2014","1",0.466714273339362
"2010-2014","1",0.45523467122454
"2010-2014","1",0.454758940280554
"2010-2014","1",0.473889215130317
"2010-2014","1",0.463944553871243
"2010-2014","1",0.469086902550584
"2010-2014","1",0.470495831999731
"2010-2014","1",0.46185651025694
"2010-2014","1",0.467548812769337
"2010-2014","1",0.463001198333182
"2010-2014","1",0.477163740162624
"2010-2014","1",0.467242212443803
"2010-2014","1",0.472457854416321
"2010-2014","1",0.456563700530077
"2010-2014","1",0.450260467452577
"2010-2014","1",0.458467378544742
"2010-2014","1",0.464544139471395
"2010-2014","1",0.473884795987279
"2010-2014","1",0.447635442423876
"2010-2014","1",0.467517309851383
"2010-2014","1",0.449161842839824
"2010-2014","1",0.451926892496358
"2010-2014","1",0.468384159004126
"2010-2014","1",0.47310818535052
"2010-2014","1",0.474995844794245
"2010-2014","1",0.449866464217175
"2010-2014","1",0.470147085466934
"2010-2014","1",0.482505437889454
"2010-2014","1",0.468737234249729
"2010-2014","1",0.459458122701886
"2010-2014","1",0.462638482232224
"2010-2014","1",0.458889617324519
"2010-2014","1",0.471282507348184
"2010-2014","1",0.46342631666928
"2010-2014","1",0.471178810173887
"2010-2014","1",0.467693366108912
"2010-2014","1",0.477943307581016
"2010-2014","1",0.459997429428443
"2010-2014","1",0.470647598114214
"2010-2014","1",0.469035688231634
"2010-2014","1",0.475501072871701
"2010-2014","1",0.465249464627946
"2010-2014","1",0.464213302461312
"2010-2014","1",0.470858788019046
"2010-2014","1",0.459786014567999
"2010-2014","1",0.445817145505161
"2010-2014","1",0.476773279871238
"2010-2014","1",0.465470504973074
"2010-2014","1",0.469770391664678
"2010-2014","1",0.473532415831792
"2010-2014","1",0.475470158467176
"2010-2014","1",0.461654123937109
"2010-2014","1",0.464618156284474
"2010-2014","1",0.470962516573094
"2010-2014","1",0.451191256761646
"2010-2014","1",0.4702098304488
"2010-2014","1",0.474580765348534
"2010-2014","1",0.467957459928058
"2010-2014","1",0.466885502267388
"2010-2014","1",0.479864512982952
"2010-2014","1",0.468627650593386
"2010-2014","1",0.465736668332542
"2010-2014","1",0.472629775977497
"2010-2014","1",0.457468844393217
"2010-2014","1",0.464691764060588
"2010-2014","1",0.4478557780911
"2010-2014","1",0.461420174100529
"2010-2014","1",0.478012277144272
"2010-2014","1",0.468483688495903
"2010-2014","1",0.47029622740884
"2010-2014","1",0.46261109246031
"2010-2014","1",0.457682023058571
"2010-2014","1",0.460945874386709
"2010-2014","1",0.459716865950595
"2010-2014","1",0.455776570794271
"2010-2014","1",0.465760424227148
"2010-2014","1",0.462407101225824
"2010-2014","1",0.45357135666695
"2010-2014","1",0.46771229580937
"2010-2014","1",0.45333749905173
"2010-2014","1",0.459482937753518
"2010-2014","1",0.468937351531443
"2010-2014","1",0.473877421451081
"2010-2014","1",0.466170231095827
"2010-2014","1",0.448107568111319
"2010-2014","1",0.454891332874549
"2010-2014","1",0.469477703064742
"2010-2014","1",0.459630096055853
"2010-2014","1",0.460395447643149
"2010-2014","1",0.464209908449175
"2010-2014","1",0.469610751285132
"2010-2014","1",0.465337292377655
"2010-2014","1",0.458870087529203
"2010-2014","1",0.453266092902582
"2010-2014","1",0.447063639188528
"2010-2014","1",0.462450563426265
"2010-2014","1",0.457019778114011
"2010-2014","1",0.462449753602869
"2010-2014","1",0.45814106269209
"2010-2014","1",0.457920907186074
"2010-2014","1",0.472404956662463
"2010-2014","1",0.471647478044716
"2010-2014","1",0.464166377381675
"2010-2014","1",0.461722330751002
"2010-2014","1",0.471492049925452
"2010-2014","1",0.468916601498963
"2010-2014","1",0.47472323374098
"2010-2014","1",0.468309282947371
"2010-2014","1",0.469862712965606
"2010-2014","1",0.467403810647859
"2010-2014","1",0.452565371727603
"2010-2014","1",0.475831473539391
"2010-2014","1",0.467855915489109
"2010-2014","1",0.473482400546562
"2010-2014","1",0.452648969120181
"2010-2014","1",0.452741078042742
"2010-2014","1",0.456526194950642
"2010-2014","1",0.449636523102045
"2010-2014","1",0.458819153042473
"2010-2014","1",0.452718525820179
"2010-2014","1",0.466018352108764
"2010-2014","1",0.464142680166652
"2010-2014","1",0.461887829663942
"2010-2014","1",0.478971476353656
"2010-2014","1",0.458215869847506
"2010-2014","1",0.443392515634196
"2010-2014","1",0.469531770346049
"2010-2014","1",0.450825355834547
"2010-2014","1",0.466444556424963
"2010-2014","1",0.465369694603051
"2010-2014","1",0.462051021199774
"2010-2014","1",0.472682998727348
"2010-2014","1",0.47221473011238
"2010-2014","1",0.453555001748411
"2010-2014","1",0.476908163370526
"2010-2014","1",0.450121755093978
"2010-2014","1",0.462717121527444
"2010-2014","1",0.464697796941244
"2010-2014","1",0.463014937484475
"2010-2014","1",0.461868866345883
"2010-2014","1",0.465168032476785
"2010-2014","1",0.462775417938917
"2010-2014","1",0.468738082606576
"2010-2014","1",0.47094679687757
"2010-2014","1",0.473560967575451
"2010-2014","1",0.473717724543618
"2010-2014","1",0.452270984552693
"2010-2014","1",0.461068941320023
"2010-2014","1",0.475852239514341
"2010-2014","1",0.463630920577386
