"region_name","image_year","n_polygons","area_m2","eligible_area_m2"
"Midt-Norge",2020,630,19348648.4950892,19348648.4950892
"Midt-Norge",2021,236,2626429.15642888,2626429.15642888
"Midt-Norge",2022,4840,149518826.075716,149518826.075716
"Midt-Norge",2023,164,1844084.0409456,1844084.0409456
"Midt-Norge",2024,3203,74690303.8963363,74690303.8963363
"Midt-Norge",2025,6598,227883127.275188,227883127.275188
"Nord-Norge",1972,5,3787.97148172278,3787.97148172278
"Nord-Norge",1978,6,14928.3289224928,14928.3289224928
"Nord-Norge",2019,33,100435.349251992,100435.349251992
"Nord-Norge",2020,422,7706001.03125231,7706001.03125231
"Nord-Norge",2021,815,11992038.9717691,11992038.9717691
"Nord-Norge",2022,3467,67523612.8802204,67523612.8802204
"Nord-Norge",2023,787,12226948.7030597,12226948.7030597
"Nord-Norge",2024,4146,67853802.0428609,67853802.0428609
"Nord-Norge",2025,3258,64214961.1068198,64214961.1068198
"Sørlandet",2021,426,6736715.84603601,0
"Sørlandet",2022,309,1389662.6763794,1389662.6763794
"Sørlandet",2023,1227,27545646.7883027,27545646.7883027
"Sørlandet",2024,645,37487422.2445414,37487422.2445414
"Sørlandet",2025,2777,44051464.3852228,44051464.3852228
"Vestlandet",1981,96,3864736.32689248,3864736.32689248
"Vestlandet",2019,17,299589.308167223,299589.308167223
"Vestlandet",2020,53,3691459.38539883,3691459.38539883
"Vestlandet",2021,5150,207057368.678903,207057368.678903
"Vestlandet",2022,477,15228815.9874955,15228815.9874955
"Vestlandet",2023,2301,155321298.388796,155321298.388796
"Vestlandet",2024,1593,49080580.7185551,49080580.7185551
"Vestlandet",2025,2871,130294968.797964,130294968.797964
"Østlandet",2022,146,1908800.4538178,1908800.4538178
"Østlandet",2023,771,4173768.46048751,4173768.46048751
"Østlandet",2024,3513,68123896.6655211,68123896.6655211
"Østlandet",2025,7783,153198238.044467,153198238.044467
"Østlandet",2026,106,211670.502127927,211670.502127927
