"ecosystem","region_id","bioclimatic_zone","forest_height_m"
"Naturlig aapne",2,1,8.47727192773821
"Naturlig aapne",2,3,7.47557860179434
"Naturlig aapne",2,4,5.46648239584725
"Naturlig aapne",2,5,9.61104469718906
"Naturlig aapne",1,2,NA
"Naturlig aapne",1,3,6.87548856317911
"Naturlig aapne",1,4,4.86342411059793
"Naturlig aapne",1,5,7.62338438524089
"Naturlig aapne",5,1,11.2433665956162
"Naturlig aapne",4,1,10.4751775572172
"Naturlig aapne",4,3,10.5933575357291
"Naturlig aapne",4,4,NA
"Naturlig aapne",4,5,9.65690425007742
"Naturlig aapne",3,1,12.1238107645214
"Naturlig aapne",3,3,10.1235558476998
"Naturlig aapne",3,4,6.37283904264931
"Naturlig aapne",3,5,11.7431066095521
"Semi-naturlig",2,1,8.47727192773821
"Semi-naturlig",2,3,7.47557860179434
"Semi-naturlig",2,4,5.46648239584725
"Semi-naturlig",2,5,9.61104469718906
"Semi-naturlig",1,2,NA
"Semi-naturlig",1,3,6.87548856317911
"Semi-naturlig",1,4,4.86342411059793
"Semi-naturlig",1,5,7.62338438524089
"Semi-naturlig",5,1,11.2433665956162
"Semi-naturlig",5,3,NA
"Semi-naturlig",5,4,6.6230461323639
"Semi-naturlig",4,1,10.4751775572172
"Semi-naturlig",4,3,10.5933575357291
"Semi-naturlig",4,4,NA
"Semi-naturlig",4,5,9.65690425007742
"Semi-naturlig",3,1,12.1238107645214
"Semi-naturlig",3,3,10.1235558476998
"Semi-naturlig",3,4,6.37283904264931
"Semi-naturlig",3,5,11.7431066095521
"Vaatmark",2,1,8.47727192773821
"Vaatmark",2,3,7.47557860179434
"Vaatmark",2,4,5.46648239584725
"Vaatmark",2,5,9.61104469718906
"Vaatmark",1,3,6.87548856317911
"Vaatmark",1,4,4.86342411059793
"Vaatmark",1,5,7.62338438524089
"Vaatmark",5,1,11.2433665956162
"Vaatmark",5,3,NA
"Vaatmark",5,4,6.6230461323639
"Vaatmark",4,1,10.4751775572172
"Vaatmark",4,3,10.5933575357291
"Vaatmark",4,5,9.65690425007742
"Vaatmark",3,1,12.1238107645214
"Vaatmark",3,3,10.1235558476998
"Vaatmark",3,4,6.37283904264931
"Vaatmark",3,5,11.7431066095521
