"ecosystem","region_id","bioclimatic_zone","reference_height_m"
"Naturlig aapne",2,1,0.18540632724762
"Naturlig aapne",2,3,1.1819896697998
"Naturlig aapne",2,4,0.2987060546875
"Naturlig aapne",2,5,0.349313616752625
"Naturlig aapne",1,2,0.234448790550232
"Naturlig aapne",1,3,0.265657442872242
"Naturlig aapne",1,4,0.145276427268982
"Naturlig aapne",1,5,0.183406226336956
"Naturlig aapne",5,1,0.153443574905396
"Naturlig aapne",4,1,0.20806360244751
"Naturlig aapne",4,3,0.639174222946167
"Naturlig aapne",4,4,0.384613037109375
"Naturlig aapne",4,5,0.881847381591797
"Naturlig aapne",3,1,0.173507019877434
"Naturlig aapne",3,3,0.80902099609375
"Naturlig aapne",3,4,0.386688232421875
"Naturlig aapne",3,5,0.734184265136719
"Semi-naturlig",2,1,0.086042046546936
"Semi-naturlig",2,3,1.15789794921875
"Semi-naturlig",2,4,1.2022705078125
"Semi-naturlig",2,5,0.667068481445312
"Semi-naturlig",1,2,0.67401973589947
"Semi-naturlig",1,3,1.78284454345703
"Semi-naturlig",1,4,1.36923599243164
"Semi-naturlig",1,5,0.487436294555664
"Semi-naturlig",5,1,2.2826073399842
"Semi-naturlig",5,3,0.8260498046875
"Semi-naturlig",5,4,0.68060302734375
"Semi-naturlig",4,1,0.713635802268982
"Semi-naturlig",4,3,1.03227535761816
"Semi-naturlig",4,4,1.34316358174363
"Semi-naturlig",4,5,1.00555610656738
"Semi-naturlig",3,1,0.785460114479065
"Semi-naturlig",3,3,1.32435607910156
"Semi-naturlig",3,4,0.683197021484375
"Semi-naturlig",3,5,1.34681701660156
"Vaatmark",2,1,0.0199217610173039
"Vaatmark",2,3,0.300933837890625
"Vaatmark",2,4,0.127197265625
"Vaatmark",2,5,0.428804084436217
"Vaatmark",1,3,0.175198554992676
"Vaatmark",1,4,0.0706240367889404
"Vaatmark",1,5,0.0956807136535644
"Vaatmark",5,1,1.11313629150391
"Vaatmark",5,3,0.0943603515625
"Vaatmark",5,4,0.13970947265625
"Vaatmark",4,1,0.0745849925291958
"Vaatmark",4,3,0.149017333984375
"Vaatmark",4,5,0.0821816631566698
"Vaatmark",3,1,1.21062469482422
"Vaatmark",3,3,0.331329345703125
"Vaatmark",3,4,0.05181884765625
"Vaatmark",3,5,1.74303436279297
