ecosystem,ECT,verbatimeName,indicatorName,indicatorID,reportingYears,ect,folder,results_path,weight,national_weight_scheme,match_status,has_results,results_ref,results_url,results_source
mountain,A1 Fysiske egenskaper,Isbreer,Glaciers,NO_GLAC_001,NA,A1,NO_GLAC_001,indicators/NO_GLAC_001/data/results_NO_GLAC_001_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_GLAC_001/data/results_NO_GLAC_001_v1.0.0.csv,main
mountain,A1 Fysiske egenskaper,Snødybde,Snow depth,NO_SNOW_001,NA,A1,NO_SNOW_001,indicators/NO_SNOW_001/data/results_NO_SNOW_001_v0.1.0.parquet,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_SNOW_001/data/results_NO_SNOW_001_v0.1.0.parquet,main
mountain,A1 Fysiske egenskaper,Vegetasjonsindikator på varmekrav,Warming impact on vegetation,NO_FUHR_002,NA,A1,NO_FUHR_002,indicators/NO_FUHR_002/data/results_NO_FUHR_002.parquet,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_FUHR_002/data/results_NO_FUHR_002.parquet,main
mountain,B1 Biologisk mangfold,Fjellrev,Arctic fox,NO_AFOX_001,NA,B1,NO_AFOX_001,indicators/NO_AFOX_001/data/results_NO_AFOX_001_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_AFOX_001/data/results_NO_AFOX_001_v1.0.0.csv,main
mountain,B1 Biologisk mangfold,Fremmede plantearter,Alien plant species,NO_ALIE_002,NA,B1,NO_ALIE_002,indicators/NO_ALIE_002/data/results_NO_ALIE_002_sim.parquet,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_ALIE_002/data/results_NO_ALIE_002_sim.parquet,main
mountain,B1 Biologisk mangfold,Kongeørn,Golden eagle,NO_GOLD_001,NA,B1,NO_GOLD_001,indicators/NO_GOLD_001/data/results_NO_GOLD_001_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_GOLD_001/data/results_NO_GOLD_001_v1.0.0.csv,main
mountain,B1 Biologisk mangfold,Jerv,Wolverine,NO_JERV_001,NA,B1,NO_JERV_001,indicators/NO_JERV_001/data/results_NO_JERV_001_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_JERV_001/data/results_NO_JERV_001_v1.0.0.csv,main
mountain,B1 Biologisk mangfold,Fjellrype,Ptarmigan,NO_PTAR_001,NA,B1,NO_PTAR_001,indicators/NO_PTAR_001/data/results_NO_PTAR_001_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_PTAR_001/data/results_NO_PTAR_001_v1.0.0.csv,main
mountain,B2 Strukturelle egenskaper,Reinlav,Lichen biomass,NO_LAVH_001,NA,B2,NO_LAVH_001,indicators/NO_LAVH_001/data/results_NO_LAVH_001_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_LAVH_001/data/results_NO_LAVH_001_v1.0.0.csv,main
mountain,B3 Funksjonelle egenskaper,Smågnagere,Small rodents,NO_RODE_001,NA,B3,NO_RODE_001,indicators/NO_RODE_001/data/results_NO_RODE_001_v1.0.0.csv,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_RODE_001/data/results_NO_RODE_001_v1.0.0.csv,main
mountain,B3 Funksjonelle egenskaper,Terrengskade,Erosive disturbance,NO_SLIT_001,NA,B3,NO_SLIT_001,indicators/NO_SLIT_001/data/NO_SLIT_002_sim.parquet,1,equal,matched,TRUE,main,https://raw.githubusercontent.com/NINAnor/ecRxiv/main/indicators/NO_SLIT_001/data/NO_SLIT_002_sim.parquet,main
