"","Bees","Butterfly","Hoverflies","species"
"1",34884,0,23256,"Ajuga pyramidalis"
"2",0,306,0,"Astragalus alpinus"
"3",379145,0,139685,"Campanula rotundifolia"
"4",4284,0,0,"Carum carvi"
"5",33660,16830,218790,"Filipendula ulmaria"
"6",6732,3366,77418,"Galium album"
"7",1836,918,21114,"Galium aparine"
"8",13464,6732,154836,"Galium boreale"
"9",306,153,3519,"Galium elongatum"
"10",7344,3672,84456,"Galium palustre"
"11",9792,4896,112608,"Galium saxatile"
"12",6732,3366,77418,"Galium uliginosum"
"13",1836,918,21114,"Galium verum"
"14",9180,0,16524,"Geranium robertianum"
"15",174420,0,313956,"Geranium sylvaticum"
"16",0,0,306,"Gymnadenia conopsea"
"17",7344,612,10404,"Hieracium murorum"
"18",40392,3366,57222,"Hieracium umbellatum"
"19",29376,2448,41616,"Hieracium vulgatum"
"20",47736,0,53244,"Hypochaeris radicata"
"21",31212,0,62424,"Knautia arvensis"
"22",63648,0,14688,"Lathyrus linifolius"
"23",99450,0,22950,"Lathyrus pratensis"
"24",35802,0,8262,"Lathyrus vernus"
"25",44064,0,141984,"Leucanthemum vulgare"
"26",245600,19648,98240,"Lotus corniculatus"
"27",0,7650,0,"Nardus stricta"
"28",306,0,2448,"Origanum vulgare"
"29",46818,5202,88434,"Plantago lanceolata"
"30",22032,2448,41616,"Plantago major"
"31",8262,918,15606,"Plantago media"
"32",3672,0,47736,"Silene dioica"
"33",765,0,9945,"Silene vulgaris"
"34",190340,19034,152272,"Stellaria graminea"
"35",30600,3060,24480,"Stellaria media"
"36",42840,4284,34272,"Stellaria nemorum"
"37",159026,21490,94556,"Trifolium medium"
"38",373626,50490,222156,"Trifolium pratense"
"39",647463,87495,384978,"Trifolium repens"
"40",0,0,459,"Trollius europaeus"
"41",17806,8903,124642,"Valeriana sambucifolia"
"42",6120,0,4590,"Veronica alpina"
"43",354960,0,266220,"Veronica chamaedrys"
"44",386820,0,290115,"Veronica officinalis"
"45",116280,0,87210,"Veronica serpyllifolia"
"46",276318,0,144738,"Vicia cracca"
"47",122094,0,63954,"Vicia sepium"
"48",6426,0,3366,"Vicia sylvatica"
"49",6732,16830,3366,"Viola biflora"
"50",20808,52020,10404,"Viola canina"
"51",918,2295,459,"Viola epipsila"
"52",29376,73440,14688,"Viola palustris"
"53",21420,53550,10710,"Viola riviniana"
"54",4896,12240,2448,"Viola tricolor"
