"","plant species","Number of occurrence"
"1","Ajuga pyramidalis",4427
"2","Astragalus alpinus",2283
"3","Campanula rotundifolia",13558
"4","Carum carvi",2962
"5","Filipendula ulmaria",18103
"6","Galium album",3734
"7","Galium aparine",1926
"8","Galium boreale",8338
"9","Galium elongatum",1503
"10","Galium palustre",2598
"11","Galium saxatile",1619
"12","Galium uliginosum",2061
"13","Galium verum",3619
"14","Geranium robertianum",6148
"15","Geranium sylvaticum",15692
"16","Gymnadenia conopsea",3659
"17","Hieracium murorum",30
"18","Hieracium umbellatum",3985
"19","Hieracium vulgatum",39
"20","Hypochaeris radicata",1399
"21","Knautia arvensis",6609
"22","Lathyrus linifolius",6438
"23","Lathyrus pratensis",5923
"24","Lathyrus vernus",2228
"25","Leucanthemum vulgare",9992
"26","Lotus corniculatus",12485
"27","Nardus stricta",7179
"28","Origanum vulgare",2484
"29","Plantago lanceolata",5638
"30","Plantago major",7200
"31","Plantago media",2442
"32","Silene dioica",7645
"33","Silene vulgaris",3742
"34","Stellaria graminea",8687
"35","Stellaria media",4101
"36","Stellaria nemorum",4250
"37","Trifolium medium",4670
"38","Trifolium pratense",12698
"39","Trifolium repens",11745
"40","Trollius europaeus",5928
"41","Valeriana sambucifolia",108
"42","Veronica alpina",626
"43","Veronica chamaedrys",9228
"44","Veronica officinalis",11936
"45","Veronica serpyllifolia",3153
"46","Vicia cracca",10301
"47","Vicia sepium",6270
"48","Vicia sylvatica",2214
"49","Viola biflora",3612
"50","Viola canina",3602
"51","Viola epipsila",499
"52","Viola palustris",8928
"53","Viola riviniana",9602
"54","Viola tricolor",4075
