"","plant species","Number of occurrence"
"1","Ajuga pyramidalis",72650
"2","Astragalus alpinus",155978
"3","Campanula rotundifolia",218345
"4","Carum carvi",47681
"5","Filipendula ulmaria",163248
"6","Galium album",65106
"7","Galium aparine",45202
"8","Galium boreale",67332
"9","Galium elongatum",43791
"10","Galium palustre",84951
"11","Galium saxatile",5048
"12","Galium uliginosum",49728
"13","Galium verum",23600
"14","Geranium robertianum",49141
"15","Geranium sylvaticum",238108
"16","Gymnadenia conopsea",458
"17","Hieracium murorum",764
"18","Hieracium umbellatum",9808
"19","Hieracium vulgatum",13483
"20","Hypochaeris radicata",1988
"21","Knautia arvensis",50898
"22","Lathyrus linifolius",91357
"23","Lathyrus pratensis",77899
"24","Lathyrus vernus",56287
"25","Leucanthemum vulgare",125584
"26","Lotus corniculatus",64438
"27","Nardus stricta",47131
"28","Origanum vulgare",767
"29","Plantago lanceolata",8672
"30","Plantago major",6730
"31","Plantago media",1389
"32","Silene dioica",56046
"33","Silene vulgaris",33839
"34","Stellaria graminea",180580
"35","Stellaria media",47587
"36","Stellaria nemorum",62024
"37","Trifolium medium",35383
"38","Trifolium pratense",147575
"39","Trifolium repens",97671
"40","Trollius europaeus",44249
"41","Valeriana sambucifolia",68074
"42","Veronica alpina",17738
"43","Veronica chamaedrys",175299
"44","Veronica officinalis",223994
"45","Veronica serpyllifolia",5988
"46","Vicia cracca",83519
"47","Vicia sepium",112154
"48","Vicia sylvatica",45135
"49","Viola biflora",3518
"50","Viola canina",123557
"51","Viola epipsila",611
"52","Viola palustris",83363
"53","Viola riviniana",425049
"54","Viola tricolor",88517
