"Species","mergedDatasetPO","Monitoring data of natural and man-made semi-natural meadows in and around Oslo, Norway 2018-2021","Vegetation data with and without experimental warming, alpine Finse 2000, 2004, 2011","Effects of vegetation clearing on vascular plants in power line clearings southeast Norway","Vascular plants in power line clearings and the nearby forest, southeast Norway","Overvåking av semi-naturlig eng (ASO)"
"Ajuga pyramidalis",4003,22,720,1533,599,153
"Astragalus alpinus",1851,22,720,1533,599,153
"Campanula rotundifolia",11703,22,720,1533,599,153
"Carum carvi",2584,22,720,1533,599,153
"Filipendula ulmaria",15967,22,720,1533,599,153
"Galium album",3624,22,720,1533,599,153
"Galium aparine",1722,22,720,1533,599,153
"Galium boreale",7360,22,720,1533,599,153
"Galium elongatum",1399,22,720,1533,599,153
"Galium palustre",2180,22,720,1533,599,153
"Galium saxatile",1299,22,720,1533,599,153
"Galium uliginosum",1761,22,720,1533,599,153
"Galium verum",3276,22,720,1533,599,153
"Geranium robertianum",5497,22,720,1533,599,153
"Geranium sylvaticum",13861,22,720,1533,599,153
"Gymnadenia conopsea",3179,22,720,1533,599,153
"Hieracium murorum",20,22,720,1533,599,153
"Hieracium umbellatum",3663,22,720,1533,599,153
"Hieracium vulgatum",26,22,720,1533,599,153
"Hypochaeris radicata",1287,22,720,1533,599,153
"Knautia arvensis",6030,22,720,1533,599,153
"Lathyrus linifolius",6118,22,720,1533,599,153
"Lathyrus pratensis",5458,22,720,1533,599,153
"Lathyrus vernus",2013,22,720,1533,599,153
"Leucanthemum vulgare",9160,22,720,1533,599,153
"Lotus corniculatus",11190,22,720,1533,599,153
"Nardus stricta",5966,22,720,1533,599,153
"Origanum vulgare",2178,22,720,1533,599,153
"Plantago lanceolata",5091,22,720,1533,599,153
"Plantago major",6525,22,720,1533,599,153
"Plantago media",2045,22,720,1533,599,153
"Silene dioica",6888,22,720,1533,599,153
"Silene vulgaris",3343,22,720,1533,599,153
"Stellaria graminea",7784,22,720,1533,599,153
"Stellaria media",3723,22,720,1533,599,153
"Stellaria nemorum",3694,22,720,1533,599,153
"Trifolium medium",4394,22,720,1533,599,153
"Trifolium pratense",11519,22,720,1533,599,153
"Trifolium repens",10479,22,720,1533,599,153
"Trollius europaeus",2856,22,720,1533,599,153
"Valeriana sambucifolia",106,22,720,1533,599,153
"Veronica alpina",403,22,720,1533,599,153
"Veronica chamaedrys",8302,22,720,1533,599,153
"Veronica officinalis",10738,22,720,1533,599,153
"Veronica serpyllifolia",711,22,720,1533,599,153
"Vicia cracca",9257,22,720,1533,599,153
"Vicia sepium",5705,22,720,1533,599,153
"Vicia sylvatica",1969,22,720,1533,599,153
"Viola biflora",2990,22,720,1533,599,153
"Viola canina",3163,22,720,1533,599,153
"Viola epipsila",423,22,720,1533,599,153
"Viola palustris",7853,22,720,1533,599,153
"Viola riviniana",8650,22,720,1533,599,153
"Viola tricolor",3667,22,720,1533,599,153
